,country,gdi_gdi_2017,gii_gii_2017,gnipc_gnipc_2017,abr_abr_2017,mmr_mmr_2017,mys_mys_2017,hdi_hdi_2017,co2_prod_co2_prod_2017,pop_total_pop_total_2017,le_le_2017
32,Canada,0.986,0.096,47702.7145,8.054,12.5789562,13.7660046,0.929,15.5016279,36.5543475,82.019
33,Central African Republic,,,882.37738,161.927,904.228112,3.88244216,0.379,0.0432642,4.996741,53.721
34,Chad,,,1559.08452,148.497,1094.52764,2.13918197,0.389,0.1553903,15.085884,52.308
35,Chile,0.966,0.252,23592.6732,27.979,14.7375445,10.5905199,0.854,4.58055624,18.368577,80.35
36,China,0.952,0.205,14224.8688,14.901,21.8720523,7.68026519,0.757,7.09871827,1410.275957,77.248
37,Colombia,0.992,0.418,14089.4925,66.226,71.4464501,8.36298513,0.765,1.90841388,48.3516705,76.646
38,Comoros,0.897,,3255.31679,61.519,240.58492,5.54919706,0.571,0.35116534,0.761664,63.625
39,Congo,0.894,0.603,3501.63682,109.817,365.771142,8.19448087,0.6,1.06382498,5.3123395,63.76
40,Congo (Democratic Republic of the),0.86,0.641,994.636615,112.84,570.218333,6.90352011,0.469,0.03681039,84.283273,59.411
41,Costa Rica,0.982,0.277,19114.7711,53.783,18.7192493,8.64378023,0.8,1.60778014,4.9938415,79.377
42,Croatia,0.985,0.128,27146.0995,9.557,5.35671164,11.920409,0.855,4.47087598,4.1924665,78.083
43,Cuba,0.966,0.31,8388.369,51.207,40.1614528,10.9024228,0.764,2.20066238,11.336405,77.529
44,Cyprus,0.981,0.211,37290.5156,6.608,49.37267,12.1847301,0.891,6.20906677,1.208523,81.328
45,Czechia,0.988,0.133,36626.6856,11.523,3.1417777,12.7868204,0.896,10.2339264,10.531305,78.956
46,CÙte d'Ivoire,0.838,0.645,4694.30366,111.545,512.420225,4.01430435,0.515,0.48301241,24.8480155,58.48
47,Denmark,0.981,0.027,56568.4159,2.893,4.9994618,13.011765,0.944,6.04198781,5.7372845,81.111
48,Djibouti,0.839,,4247.57156,22.961,247.053295,3.6266501,0.491,0.37660793,1.0402325,62.797
49,Dominica,,,11551.6856,39.105,,8.95959238,0.709,2.18584435,0.070403,67.525
50,Dominican Republic,1.012,0.46,15740.8793,87.909,104.42416,8.98452695,0.761,2.25569171,10.647244,73.063
51,East Asia and the Pacific,0.955,0.346,13259.9049,24.4296719,70.4248711,7.78776235,0.742,5.54995191,2101.186722,75.41957477
52,Ecuador,0.984,0.388,11406.4528,72.683,68.8101,8.76591969,0.762,2.34618982,16.696944,76.972
53,Egypt,0.905,0.392,10792.7584,50.624,19.5662954,9.04570961,0.709,2.55538038,101.7893855,71.302
54,El Salvador,0.985,0.371,8139.18719,61.531,44.6642519,6.82509995,0.667,0.95261363,6.2666545,72.311
55,Equatorial Guinea,,,14444.6162,156.047,197.011906,8.11000229,0.65,5.41954403,1.450694,60.821
56,Eritrea,,,1527.10688,68.296,358.567962,4.6215841,0.472,0.1639891,3.396933,66.577
57,Estonia,1.023,0.106,32990.0452,9.813,5.60520709,13.55548,0.886,14.2221656,1.3175485,77.976
58,Eswatini (Kingdom of),0.973,0.517,7663.39434,74.418,236.914072,5.328,0.601,0.85602619,1.1513905,57.895
59,Ethiopia,0.897,0.517,1976.16309,71.878,348.311271,2.41103665,0.472,0.14402953,108.1979495,64.838
60,Europe and Central Asia,0.959,0.245,17282.3096,24.796191,19.0848351,10.3942704,0.793,5.46469255,244.135198,74.34317768
61,Fiji,0.939,0.348,11808.6471,28.059,36.8322658,10.6303597,0.728,1.48190625,0.9190185,67.79
62,Finland,0.99,0.042,47593.887,4.856,7.29020292,12.7393799,0.934,8.10691086,5.5081395,81.498
63,France,0.986,0.073,45584.5709,7.288,7.5465361,11.4097004,0.899,5.25217399,64.1440865,82.473
64,Gabon,0.989,0.528,13562.9037,99.037,217.796469,9.208,0.699,2.74701374,2.1402155,66.189
65,Gambia,0.909,0.598,1890.80283,69.575,493.665401,3.99410043,0.477,0.24927536,2.3811815,62.995
66,Georgia,0.99,0.306,12924.2182,38.814,25.5685329,12.8743601,0.807,2.69691667,3.7719,73.57
67,Germany,0.959,0.087,54335.9628,8.618,4.73293118,14.1047649,0.944,9.51276073,82.624374,80.944
68,Ghana,0.906,0.528,4686.81357,65.897,273.888028,6.12050009,0.585,0.411541,30.2222615,64.013
69,Greece,0.971,0.129,28461.4558,8.368,5.84933561,10.5428577,0.88,6.99979462,10.6922285,80.85
70,Grenada,0.982,,13263.2745,34.69,23.7811706,9.7212082,0.786,2.30282581,0.1209205,74.765
71,Guatemala,0.925,0.52,8147.87168,78.608,94.8745571,5.30743504,0.636,1.04474271,16.578723,72.551
72,Guinea,,,2371.89101,125.259,572.139893,2.58055997,0.467,0.26460713,12.2407885,59.109
73,Guinea-Bissau,,,1876.13037,94.639,705.477309,3.5840366,0.479,0.16177561,1.8798265,60.066
74,Guyana,,,12164.1473,70.484,123.331273,8.27200312,0.699,3.04853443,0.763252,68.667
75,Haiti,0.92,0.626,3212.44675,55.628,350.601089,5.3822999,0.557,0.2889665,10.8635435,63.854
76,High human development,0.955,0.349,13346.5142,33.6908088,58.3441954,8.22103836,0.748,5.14139477,2810.070906,75.10885075
77,Honduras,0.987,0.421,5114.50578,75.341,63.9536222,6.40829492,0.614,1.06280959,9.626842,72.692
78,"Hong Kong, China (SAR)",0.972,,62442.1749,3.204,,12.1690502,0.946,5.6866705,7.4615185,84.899
79,Hungary,0.983,0.261,28302.7734,23.913,14.4491878,11.979455,0.846,5.0649299,9.788941,76.005
80,Iceland,0.976,0.055,53923.2217,6.047,2.80497224,13.5482898,0.955,10.5118266,0.343632,82.535
81,India,0.834,0.507,6045.97043,20.42,118.661087,6.01442504,0.636,1.79191747,1354.19568,70.467
82,Indonesia,0.932,0.462,10595.2164,36.012,194.000314,8.23958969,0.708,2.10565829,264.4988525,69.936
83,Iran (Islamic Republic of),0.89,0.464,15181.8603,39.664,18.4598629,10.4203429,0.788,8.11077077,84.5050765,75.971
84,Iraq,0.784,0.578,9900.07984,68.118,77.6882842,6.66632617,0.667,4.46637835,39.6211615,70.413
85,Ireland,0.974,0.086,62004.3873,6.603,5.58338638,11.4341898,0.934,8.1893327,4.7718535,81.917
